# CanSat 2026 vehicle netlist. Generated by tools/gen_netlist.py -- do not hand-edit.
# Rows sharing a net name are one electrical node. Pico pins are physical, USB to the left.
# pin_constant names the flight::BoardPins member the assignment comes from; the generator refuses to run if they disagree.
#
# Reference designators:
#   U1   Raspberry Pi Pico (RP2040)  [soldered down]
#   U2   SX1278 RA-02 433 MHz LoRa module  [soldered down]
#   U3   microSD card reader, 3.3 V, no level shifter  [soldered down]
#   U4   MPU-6500 IMU breakout (sold as MPU-9250)  [male header, jumpered]
#   U5   GY-BMP280 barometer breakout, 6-pin  [male header, jumpered]
#   U6   NEO-6M GPS module with patch antenna  [male header, jumpered]
#   U7   LM393 sound module, 4-pin AO/DO variant  [male header, jumpered]
#   BT1  Orange 3.7 V 1500 mAh 1S LiPo  [JST-RCY pigtail]
#   SW1  Manual ON/OFF switch  [not yet fitted]
#   D1   Schottky diode, 1 A (1N5817 / SS14 / SS34)  [not yet fitted]
#   D2   Power indicator LED  [not yet fitted]
#   D3   Status LED  [not yet fitted]
#   R1   1 kOhm 5 % — status LED series  [not yet fitted]
#   R2   1 kOhm 5 % — power LED series  [not yet fitted]
#   R3   33 kOhm 1 % — battery divider, high side  [not yet fitted]
#   R4   33 kOhm 1 % — battery divider, low side  [not yet fitted]
#   C1   100 uF electrolytic — microSD bulk  [fitted]
#   C2   100 uF electrolytic — microSD bulk  [fitted]
#   C3   10 uF electrolytic — RA-02 bulk  [fitted]
#   C4   0.1 uF ceramic 104 — microSD  [fitted]
#   C5   0.1 uF ceramic 104 — RA-02  [fitted]
#   C6   0.1 uF ceramic 104 — LM393  [fitted]
#   J1   3.3 V test link, 2-pin header  [not yet fitted]
net	class	ref	pin	signal	pin_constant	note
GND	power	C3	-	bulk		
GND	power	C4	2	decoupling		
GND	power	C5	2	decoupling		
GND	power	C6	2	decoupling		
GND	power	J1	2	test link return		
I2C0_SDA	i2c	U1	6	GP4	i2c_sda	shared bus
I2C0_SDA	i2c	U4	4	SDA	i2c_sda	MPU-6500 at 0x68
I2C0_SDA	i2c	U5	4	SDA	i2c_sda	BMP280 at 0x76
I2C0_SCL	i2c	U1	7	GP5	i2c_scl	shared bus
I2C0_SCL	i2c	U4	3	SCL	i2c_scl	
I2C0_SCL	i2c	U5	3	SCL	i2c_scl	
IMU_INT	i2c	U1	10	GP7	imu_int	wired; firmware does not enable it
IMU_INT	i2c	U4	8	INT	imu_int	
SPI0_SCK	spi	U1	24	GP18	spi_sck	4 MHz, shared
SPI0_SCK	spi	U2	J1.5	SCK	spi_sck	
SPI0_SCK	spi	U3	3	CLK	spi_sck	silkscreen says CLK, not SCK
SPI0_MOSI	spi	U1	25	GP19	spi_mosi	
SPI0_MOSI	spi	U2	J1.3	MOSI	spi_mosi	
SPI0_MOSI	spi	U3	4	MOSI	spi_mosi	
SPI0_MISO	spi	U1	21	GP16	spi_miso	two devices must tri-state here
SPI0_MISO	spi	U2	J1.4	MISO	spi_miso	
SPI0_MISO	spi	U3	2	MISO	spi_miso	
LORA_CS	spi	U1	22	GP17	lora_cs	
LORA_CS	spi	U2	J1.2	NSS	lora_cs	
SD_CS	spi	U1	9	GP6	sd_cs	
SD_CS	spi	U3	5	CS	sd_cs	
LORA_RST	radio	U1	26	GP20	lora_reset	
LORA_RST	radio	U2	J2.4	RST	lora_reset	
LORA_DIO0	radio	U1	27	GP21	lora_dio0	TX done / RX done
LORA_DIO0	radio	U2	J2.5	DIO0	lora_dio0	
LORA_DIO1	radio	U1	29	GP22	lora_dio1	wired, never read
LORA_DIO1	radio	U2	J2.6	DIO1	lora_dio1	
GPS_TX	uart	U1	16	GP12	gps_tx	Pico transmits
GPS_TX	uart	U6	2	RX	gps_tx	
GPS_RX	uart	U1	17	GP13	gps_rx	Pico receives, 9600 8N1
GPS_RX	uart	U6	3	TX	gps_rx	
BATT_SENSE	analogue	U1	31	GP26 / ADC0	battery_adc	divider midpoint
BATT_SENSE	analogue	R3	2	divider high	battery_adc	
BATT_SENSE	analogue	R4	1	divider low	battery_adc	no capacitor — D-7
SOUND_AO	analogue	U1	32	GP27 / ADC1	sound_adc	short run, paired return to AGND
SOUND_AO	analogue	U7	1	AO	sound_adc	
SOUND_DO	digital	U1	20	GP15	sound_gate	comparator output
SOUND_DO	digital	U7	2	DO	sound_gate	
STATUS_LED	digital	U1	19	GP14	status_led	blink code says the mission state
STATUS_LED	digital	R1	1	series	status_led	
LED_A	digital	R1	2	series		
LED_A	digital	D3	A	anode		
PWR_LED_A	digital	R2	2	series		
PWR_LED_A	digital	D2	A	anode		PWR-002/PWR-003: lit the instant the switch closes
